star	x_fwhm	y_fwhm	avg_fwhm
1	4.1177	3.3157	3.3157
2	3.4497	2.91625	2.91625
3	3.3752	3.0578	3.0578
4	2.5518	2.5662	2.5662
5	2.7057	2.6919	2.6919
6	2.6677	2.7843	2.7843
7	4.4674	4.0879	4.0879
8	3.2489	2.877	2.877
9	3.46015	2.9185	2.9185
10	2.8413	2.6998	2.6998
11	3.72315	3.4923	3.4923
12	3.4293	2.9146	2.9146
13	2.9616	2.9011	2.9011
14	1.7894	0.0	0.0
15	2.8952	2.769	2.769
16	4.119199999999999	3.709	3.709
17	3.6551	3.0186	3.0186
18	3.4053	3.1774	3.1774
19	2.6625	2.8651	2.8651
20	0.0	0.0	0.0
21	2.8841	2.8442	2.8442
22	4.1666	3.6783	3.6783
23	3.971	3.564	3.564
24	3.6671500000000004	3.275	3.275
25	3.3874	2.9847	2.9847
26	3.2446	2.8779	2.8779
27	4.4595	3.9905	3.9905
28	3.3819999999999997	2.9395	2.9395
29	3.6474	3.1143	3.1143
30	4.45315	4.07965	4.07965
31	3.1758	2.963	2.963
32	2.6373	2.6152499999999996	2.6152499999999996
33	4.250500000000001	3.5889	3.5889
34	3.41455	3.1412	3.1412
35	4.022	3.3933	3.3933
36	2.6522	2.5853	2.5853
37	2.7571	2.7412	2.7412
38	2.7482	2.6213	2.6213
39	3.1182	2.8555	2.8555
40	4.2532	3.56905	3.56905
41	3.1144	2.9241	2.9241
42	3.08645	2.86185	2.86185
43	4.2055	3.5734	3.5734
44	3.2704	3.0173	3.0173
45	3.2503	2.8939	2.8939
46	4.01755	3.6378	3.6378
47	4.1685	3.7297	3.7297
48	3.96815	3.6267	3.6267
49	3.4973	3.0131	3.0131
50	3.5762	2.9947	2.9947
51	3.86685	3.1915	3.1915
52	3.4561	3.1012	3.1012
53	2.6481	2.6094	2.6094
54	2.69445	2.6437	2.6437
55	3.6881000000000004	3.5667	3.5667
56	4.4837	4.0732	4.0732
57	3.5544	3.0949	3.0949
58	2.735	2.8468	2.8468
59	4.5316	4.1334	4.1334
60	4.543	4.102	4.102
61	4.0117	3.4821	3.4821
62	4.23615	3.7593	3.7593
63	0.0	0.0	0.0
64	3.2939	3.2165	3.2165
65	3.1475999999999997	2.842	2.842
66	4.0368	3.7665	3.7665
67	0.0	0.0	0.0
68	3.9072	3.351	3.351
69	4.3155	3.8825	3.8825
70	2.1895499999999997	0.0	0.0
71	4.2412	3.5306	3.5306
72	2.6599000000000004	2.7174	2.7174
73	3.6906	3.1345	3.1345
74	4.2691	3.58995	3.58995
75	2.7307	2.7068	2.7068
76	3.2078	2.8922	2.8922
77	3.4017	3.0161	3.0161
78	3.2478	3.4561	3.4561
79	4.0827	3.5166	3.5166
80	4.3711	3.7632	3.7632
81	1.77645	1.5339	1.5339
82	3.1327499999999997	3.0141999999999998	3.0141999999999998
83	2.9698	2.7684	2.7684
84	2.88285	3.4733	3.4733
85	2.8035	3.01925	3.01925
86	2.9561	2.7188	2.7188
87	4.04785	3.5703	3.5703
88	4.386	4.278700000000001	4.278700000000001
89	2.9884	3.0857	3.0857
90	3.2434	3.26425	3.26425
91	3.4459	3.0022	3.0022
92	4.109500000000001	3.3890000000000002	3.3890000000000002
93	4.3671	4.0299	4.0299
94	4.038	3.73505	3.73505
95	3.3052	3.3549	3.3549
96	3.815	3.48	3.48
97	2.9744	3.1891499999999997	3.1891499999999997
98	3.56405	3.5111	3.5111
99	3.5134	3.16775	3.16775
100	0.0	0.0	0.0
101	4.4262	4.09005	4.09005
102	4.1567	3.67965	3.67965
103	4.1035	3.59235	3.59235
104	3.47405	3.4886	3.4886
105	4.4391	4.00305	4.00305
106	4.9314	3.5793	3.5793
107	0.0	0.0	0.0
108	2.9729	2.6478	2.6478
109	3.2657	3.15565	3.15565
110	4.2505	3.3528	3.3528
111	0.0	0.0	0.0
112	3.71405	3.1061	3.1061
113	3.4849	3.1729	3.1729
114	4.0384	3.5763	3.5763
115	4.17565	3.8101	3.8101
116	2.8726	2.5565	2.5565
117	3.216	2.8745	2.8745
118	2.6146	2.8945	2.8945
119	4.1597	3.8358	3.8358
120	3.1428000000000003	2.8714	2.8714
121	3.4428	2.9708	2.9708
122	2.9098	2.6211	2.6211
123	4.5629	4.1835	4.1835
124	3.7267	3.2591	3.2591
125	4.3557	3.9041	3.9041
126	4.3082	3.6892	3.6892
127	4.0729	3.6790000000000003	3.6790000000000003
128	4.4786	3.9178499999999996	3.9178499999999996
129	4.1426	3.6995	3.6995
130	3.2393	3.0304	3.0304
131	0.0	0.0	0.0
132	0.0	0.0	0.0
133	4.7209	3.9438500000000003	3.9438500000000003
134	3.096	2.8093	2.8093
135	0.0	0.0	0.0
136	2.94445	3.0104	3.0104
137	3.5128	3.3324499999999997	3.3324499999999997
138	3.7162	6.69775	6.69775
139	0.0	0.0	0.0
140	3.1924	2.6481	2.6481
141	3.3031	3.0569	3.0569
142	2.7246	2.4548	2.4548
143	4.698	3.9865	3.9865
144	0.0	0.0	0.0
145	3.6126500000000004	2.9678	2.9678
146	4.1108	4.7052499999999995	4.7052499999999995
147	4.00875	3.6432	3.6432
148	0.0	0.0	0.0
149	3.0242	2.9813	2.9813
150	2.8305499999999997	2.6987	2.6987
151	3.0325	2.9813	2.9813
152	3.22525	3.4034	3.4034
153	2.9465000000000003	3.0661	3.0661
154	3.0435	3.0197	3.0197
155	2.5922	2.5401	2.5401
156	3.3506	3.0947	3.0947
157	2.8589	2.843	2.843
158	2.8713	2.9335	2.9335
159	3.8198499999999997	3.2406	3.2406
160	4.3104	3.93	3.93
161	3.1058	2.8065	2.8065
162	0.0	0.0	0.0
163	4.2655	3.69	3.69
164	4.37835	3.7284	3.7284
165	3.3534	2.9057	2.9057
166	4.441	3.8859	3.8859
167	3.3614	3.5331	3.5331
168	4.6671	4.4921	4.4921
169	0.0	0.0	0.0
170	3.4982	3.3959	3.3959
171	4.3888	4.0963	4.0963
172	3.4309	2.8025	2.8025
173	3.5574500000000002	3.2201	3.2201
174	4.630850000000001	4.4819	4.4819
175	3.0553999999999997	2.4708	2.4708
176	2.7318	2.4602500000000003	2.4602500000000003
177	0.0	0.0	0.0
178	3.7377	3.3884	3.3884
179	3.1055	2.7847	2.7847
180	2.8757	2.80595	2.80595
181	3.6896	3.5058	3.5058
182	3.5231500000000002	3.2958	3.2958
183	0.0	0.0	0.0
184	3.2694	2.92105	2.92105
185	4.0617	3.7251	3.7251
186	2.75535	2.5976	2.5976
187	4.1574	3.8691	3.8691
188	0.0	0.0	0.0
189	3.60275	3.139	3.139
190	3.6588	3.8579	3.8579
191	0.0	0.0	0.0
192	0.0	0.0	0.0
193	3.913	3.6343	3.6343
194	2.8789	3.1234	3.1234
195	2.6839	4.2738	4.2738
196	3.5537	3.1542	3.1542
197	3.233	2.6915	2.6915
198	3.74	3.5318	3.5318
199	3.2271	2.8518	2.8518
200	0.0	0.0	0.0
201	4.5744	4.5101	4.5101
202	3.3654	2.83195	2.83195
203	3.6322	3.2135	3.2135
204	3.1108	2.85585	2.85585
205	2.2857	0.0	0.0
206	0.0	0.0	0.0
207	2.28325	0.0	0.0
208	0.0	0.0	0.0
209	4.125299999999999	3.7836	3.7836
210	3.0484	3.0599	3.0599
211	3.2569	2.986	2.986
212	4.07545	3.6683	3.6683
213	3.58365	3.2102	3.2102
214	0.0	0.0	0.0
215	4.395	3.7524	3.7524
216	4.3882	3.797	3.797
217	4.4723	4.2613	4.2613
218	0.0	0.0	0.0
219	4.0534	3.6463	3.6463
220	3.5334	3.345	3.345
221	3.297	3.3589	3.3589
222	3.9849	3.6737	3.6737
223	3.6118	3.4628	3.4628
224	3.0572	2.8811	2.8811
225	4.3893	4.5957	4.5957
226	4.6292	4.2566	4.2566
227	2.8335	2.8091	2.8091
228	4.0789	3.5449	3.5449
229	3.5145	2.6708	2.6708
230	3.8951	3.346	3.346
231	0.0	0.0	0.0
232	3.0919	3.3679	3.3679
233	0.0	0.0	0.0
234	3.0969	3.3532	3.3532
235	4.5573	3.7586	3.7586
236	2.8746	2.8747	2.8747
237	4.3243	3.9557	3.9557
238	3.31705	3.167	3.167
239	3.49615	3.2177	3.2177
240	3.24755	3.2772	3.2772
241	3.9485	3.4625000000000004	3.4625000000000004
242	3.3564	3.1807499999999997	3.1807499999999997
243	3.3588	2.8863	2.8863
244	3.1354	2.9195	2.9195
245	4.3231	3.7759	3.7759
246	4.5896	4.1065000000000005	4.1065000000000005
247	2.7606	2.9145	2.9145
248	4.1098	3.8659999999999997	3.8659999999999997
249	3.0026	3.0002	3.0002
250	2.84055	2.9933	2.9933
251	3.0025	3.0492	3.0492
252	2.9994	3.0142	3.0142
253	4.6725	3.8719	3.8719
254	3.0563000000000002	3.3	3.3
255	4.6731	3.90035	3.90035
256	3.3981500000000002	2.9499500000000003	2.9499500000000003
257	4.4318	3.7964	3.7964
258	3.0784	3.0355	3.0355
259	2.818	2.9381	2.9381
260	4.4003	4.0585	4.0585
261	3.61275	2.7837	2.7837
262	3.618	3.1495	3.1495
263	3.51755	2.8317	2.8317
264	4.2028	3.9443	3.9443
265	3.6011	4.242	4.242
266	3.6786	3.65445	3.65445
267	3.35515	2.999	2.999
268	3.6790000000000003	2.8214	2.8214
269	3.1957	3.5237	3.5237
270	4.25745	3.8341	3.8341
271	3.3124000000000002	2.7686	2.7686
272	0.0	0.0	0.0
273	3.20315	3.1943	3.1943
274	3.20265	3.1901	3.1901
275	0.0	0.0	0.0
276	3.3775	3.7157	3.7157
277	2.9528	3.2838	3.2838
278	0.0	0.0	0.0
279	3.1798	2.67865	2.67865
280	3.591	5.8122	5.8122
281	2.89	2.5137	2.5137
282	4.3801	3.6239	3.6239
283	3.7698	3.0576499999999998	3.0576499999999998
284	4.5886	4.2896	4.2896
285	5.3416	3.9481	3.9481
286	4.6456	4.3983	4.3983
287	3.9089	3.9223	3.9223
288	3.52665	3.2794	3.2794
289	0.0	0.0	0.0
290	2.7671	2.8615	2.8615
291	4.4413	3.9517	3.9517
292	3.5758	3.1412	3.1412
293	0.0	0.0	0.0
294	2.8474	2.67	2.67
295	0.0	0.0	0.0
296	3.9889	3.52405	3.52405
297	4.3916	3.9067	3.9067
298	3.57085	3.915	3.915
299	3.591	6.23855	6.23855
300	4.4435	3.88	3.88
301	3.5288	3.1997	3.1997
302	0.0	0.0	0.0
303	3.3635	2.9562	2.9562
304	4.5769	3.1654999999999998	3.1654999999999998
305	4.1985	3.953	3.953
306	3.3961	3.41585	3.41585
307	3.8912	2.9133	2.9133
308	4.1742	3.2708500000000003	3.2708500000000003
309	0.0	0.0	0.0
310	2.8906	3.1803	3.1803
311	4.1862	3.57565	3.57565
312	3.8268	3.0817	3.0817
313	4.586	4.1136	4.1136
314	0.0	0.0	0.0
315	2.0259	0.0	0.0
316	3.49295	3.6297	3.6297
317	4.8316	4.8342	4.8342
318	4.1074	3.6429	3.6429
319	2.8126	3.046	3.046
320	4.1624	3.6634	3.6634
321	3.02	3.3761	3.3761
322	3.95225	4.1593	4.1593
323	3.1836	2.7492	2.7492
324	4.57595	4.0899	4.0899
325	3.233	3.16355	3.16355
326	4.676	3.93295	3.93295
327	4.2364	3.0928	3.0928
328	0.0	0.0	0.0
329	4.436450000000001	3.8788	3.8788
330	3.3087	2.9093	2.9093
331	4.6583	3.9567	3.9567
332	3.1052	2.8683	2.8683
333	4.36815	3.7359	3.7359
334	0.0	0.0	0.0
335	0.0	0.0	0.0
336	0.0	0.0	0.0
337	0.0	0.0	0.0
338	3.72605	3.4016	3.4016
339	3.19825	2.7657	2.7657
340	2.9605	2.5947	2.5947
341	0.0	0.0	0.0
342	2.6295	1.9371	1.9371
343	0.0	0.0	0.0
344	2.9200999999999997	3.26335	3.26335
345	4.862550000000001	4.0509	4.0509
346	2.9825	3.9581	3.9581
347	3.2507	2.5195	2.5195
